bucket,year,Team,wpc,predicted_wpc,residual_wpc,obpfor,obpagn,slgfor,slgagn,label
overperformer,2021,Eastern Ky.,0.6730769230769231,0.5056803150949611,0.167396607981962,0.3534762833008447,0.3524904214559387,0.4180576631259484,0.4043010752688172,Eastern Ky. (2021)
overperformer,2024,FGCU,0.6440677966101694,0.49348052089202044,0.150587275718149,0.3151981076286221,0.3171014492753623,0.3227272727272727,0.3084050297816016,FGCU (2024)
overperformer,2021,Manhattan,0.5789473684210527,0.4296929322718984,0.14925443614915423,0.3104982206405694,0.3487084870848708,0.3563777994157741,0.3623655913978494,Manhattan (2021)
overperformer,2021,Iona,0.6470588235294118,0.4988754552089999,0.1481833683204119,0.3477038425492034,0.3513011152416357,0.4049676025917926,0.3889468196037539,Iona (2021)
overperformer,2025,FIU,0.5576923076923077,0.41654525823803384,0.14114704945427387,0.3609166136218968,0.3747657713928795,0.3536231884057971,0.4893617021276595,FIU (2025)
underperformer,2025,Coppin St.,0.0967741935483871,0.3078558540902693,-0.21108166054188218,0.3151796060254924,0.4140271493212669,0.3606770833333333,0.4417989417989418,Coppin St. (2025)
underperformer,2023,UTSA,0.1632653061224489,0.33269892075933893,-0.16943361463689002,0.335825968728756,0.4099252209381373,0.3826086956521739,0.4971098265895953,UTSA (2023)
underperformer,2022,Oklahoma,0.9482758620689656,1.11695918818882,-0.16868332611985426,0.4749012972363226,0.2346368715083799,0.7294117647058823,0.2087813620071684,Oklahoma (2022)
underperformer,2024,Norfolk St.,0.0851063829787234,0.25289514934343804,-0.16778876636471463,0.2945859872611465,0.4011103400416377,0.278175313059034,0.4436507936507936,Norfolk St. (2024)
underperformer,2024,Maryland,0.4444444444444444,0.5919822465634279,-0.14753780211898349,0.3550945698596705,0.3121657754010695,0.4284722222222222,0.3606431852986217,Maryland (2024)
